Chainage,Mandatory,Cautionary,Informatory
321+417,0,0,0
321+437,0,1,0
321+447,0,0,0
321+467,0,0,0
321+477,0,0,0
321+487,0,0,0
321+507,0,0,0
321+517,0,0,0
321+537,0,0,0
321+547,0,0,0
321+567,0,0,0
321+577,0,0,0
321+597,0,0,0
321+607,0,0,0
321+617,0,0,0
321+637,0,0,0
321+647,0,0,0
321+667,0,0,0
321+687,0,0,0
321+697,0,0,0
321+717,0,0,0
321+727,0,0,0
321+747,0,0,0
321+757,0,0,0
321+777,0,0,0
321+787,0,0,0
321+807,0,0,0
321+827,0,0,0
321+837,0,0,0
321+857,0,0,0
321+867,0,0,0
321+887,0,0,0
321+907,0,0,0
321+917,0,0,0
321+937,0,0,0
321+947,0,0,0
321+967,0,0,0
321+987,0,1,0
321+997,0,0,0
322+017,0,0,0
322+037,0,0,0
322+047,0,0,0
322+067,0,0,0
322+087,0,0,0
322+097,0,0,0
322+117,0,0,0
322+137,0,0,0
322+147,0,0,0
322+167,0,0,0
322+187,0,0,0
322+197,0,0,0
322+217,0,0,0
322+227,0,0,0
322+247,0,0,0
322+267,0,0,0
322+277,0,0,0
322+297,0,0,0
322+307,0,0,0
322+327,0,0,0
322+337,0,0,1
322+357,0,0,0
322+367,0,0,0
322+387,0,0,0
322+407,0,0,0
322+417,0,0,0
322+437,0,0,0
322+457,0,0,0
322+467,0,0,0
322+487,0,0,0
322+507,0,0,0
322+517,0,0,0
322+537,0,0,1
322+557,0,0,0
322+567,0,0,0
322+587,0,1,0
322+607,0,0,1
322+617,0,0,0
322+637,0,1,0
322+657,0,0,0
322+667,0,0,0
322+687,0,0,0
322+707,0,0,0
322+717,0,0,0
322+737,0,0,0
322+757,0,0,0
322+777,0,0,0
322+787,0,0,0
322+807,0,0,0
322+827,0,0,0
322+847,0,0,0
322+867,0,0,0
322+887,0,0,0
322+897,0,0,0
322+917,0,1,0
322+937,0,0,0
322+947,0,0,0
322+967,0,0,0
322+987,0,0,0
323+007,0,0,0
323+027,0,0,0
323+037,0,0,0
323+057,0,0,0
323+077,0,0,0
323+097,0,0,0
323+107,0,0,0
323+127,0,0,0
323+147,0,0,0
323+167,0,0,0
323+177,0,1,0
323+197,0,0,0
323+217,0,1,0
323+227,0,0,0
323+247,0,0,0
323+267,0,0,0
323+287,0,0,0
323+297,0,0,0
323+317,0,1,0
323+337,0,1,0
323+347,0,0,0
323+367,0,0,1
323+387,0,1,0
323+397,0,0,0
323+417,0,0,0
323+427,0,0,0
323+447,0,0,0
323+467,0,1,0
323+477,0,1,0
323+497,0,0,0
323+507,0,0,0
323+527,0,0,0
323+537,0,0,0
323+557,1,0,0
323+567,0,1,0
323+587,0,0,1
323+597,0,0,0
323+617,0,0,0
323+627,0,0,0
323+647,0,0,0
323+667,0,0,0
323+677,0,0,0
323+697,0,0,0
323+707,0,0,0
323+727,0,0,0
323+737,0,0,0
323+757,0,0,0
323+767,0,0,0
323+787,0,0,0
323+797,0,0,0
323+817,0,0,0
323+837,0,0,0
323+847,0,0,1
323+867,0,0,0
323+877,0,0,0
323+897,0,0,0
323+917,0,0,0
323+927,0,0,0
323+947,0,0,0
323+957,0,1,0
323+977,0,0,0
323+987,0,0,0
324+007,0,0,0
324+017,0,0,0
324+037,0,0,1
324+047,0,0,0
324+067,0,0,0
324+077,0,0,0
324+087,0,0,0
324+107,0,1,0
324+117,0,0,0
324+127,0,0,0
324+147,0,1,0
324+157,0,0,0
324+167,0,0,0
324+187,0,0,0
324+197,0,0,0
324+217,0,0,0
324+227,0,0,0
324+237,0,0,0
324+257,0,0,0
324+267,0,0,0
324+287,0,0,0
324+297,0,0,0
324+317,0,0,0
324+327,0,0,0
324+347,0,0,0
324+357,0,0,0
324+377,0,0,0
324+387,0,0,0
324+407,0,0,0
324+427,0,0,0
324+437,0,0,0
324+457,0,0,0
324+467,0,0,0
324+487,0,0,0
324+507,0,0,0
324+517,0,0,0
324+537,0,0,0
324+547,0,0,0
324+567,0,0,0
324+587,0,0,0
324+597,0,0,0
324+617,0,0,0
324+637,0,0,0
324+647,0,0,0
324+667,1,1,0
324+687,0,0,0
324+697,1,0,0
324+717,0,0,0
324+737,0,0,0
324+747,0,0,0
324+767,0,1,0
324+787,0,0,0
324+797,0,0,0
324+817,0,0,0
324+827,0,0,0
324+847,0,0,0
324+867,0,0,0
