Chainage,Alligator crack(%),Longitudinal crack(%),Transverse crack(%),Cracking(%),Cracking severity,Good,Fair,Poor,Potholes(%),Potholes severity,Good,Fair,Poor,Rutting(%),Shoving(%),Shoving severity,Patch work(%),Patch work severity,Good,Fair,Poor,%High Severity Bleeding,%Mid Severity Bleeding,%Low Severity Bleeding,Bleeding(%),Bleeding severity,Good,Fair,Poor,%High severity Raveling,%Medium severity Raveling,%Low severity Raveling,Raveling(%),Raveling severity,Good,Fair,Poor,Depression(%),Depression severity,Good,Fair,Poor,Edge crack(%),Edge crack severity,Good,Fair,Poor,Latitude,Longitude,Image Path
10+120,0,0,0,0,N/A,0,0,0,0.380327,Fair,0,1,0,0,0,N/A,1.634527,Fair,0,1,0,0.181633,0.136777,0.142776,0.461186,Good,1,0,0,0.011594,0.008324,0.0068507,0.0267687,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11955,77.03616,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_27972_Potholes.jpg;/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_27980_Patch_work.jpg
10+130,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,1.082702,Good,0,N/A,0,0,0,0.158574,0.162781,0.193101,0.514456,Good,1,0,0,0.010078,0.00535,0.0054954,0.0209234,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11959,77.03626,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_28009_Shoving.jpg
10+140,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.188706,0.172765,0.19713,0.558601,Good,1,0,0,0.011564,0.004749,0.0047399,0.0210529,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11963,77.03635,
10+150,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0.376254,Good,1,0,0,0.181683,0.179689,0.172083,0.533455,Good,1,0,0,0.011114,0.008861,0.0099148,0.0298898,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11966,77.03644,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_28063_Patch_work.jpg
10+160,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,2.684818,Fair,0,1,0,0.113237,0.174607,0.074431,0.362275,Good,1,0,0,0.019254,0.008865,0.0124294,0.0405484,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.1197,77.03654,/content/drive/MyDrive/Projects/Delhi-NCR results/New results/S-E/Output_Image_Folder/Frame_28095_Patch_work.jpg
10+170,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.060419,0.110557,0.16433,0.335306,Good,1,0,0,0.016739,0.006538,0.0120232,0.0353002,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11974,77.03663,
10+180,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.055878,0.098106,0.162884,0.316868,Good,1,0,0,0.006067,0.005929,0.0099042,0.0219002,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11978,77.03672,
10+190,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.036874,0.086461,0.167069,0.290404,Good,1,0,0,0.013811,0.003544,0.0088814,0.0262364,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11982,77.03681,
10+200,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.013181,0.078267,0.176493,0.267941,Good,1,0,0,0.010813,0.00741,0.0090377,0.0272607,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.11986,77.0369,
10+210,0,0,0,0,N/A,0,0,0,0,N/A,0,0,0,0,0,N/A,0,N/A,0,0,0,0.006489,0.051819,0.16833,0.226638,Good,1,0,0,0.010493,0.003994,0.0073848,0.0218718,Good,1,0,0,0,N/A,0,0,0,0,N/A,0,0,0,28.1199,77.037,
